intro start,0
intro end,59
monster on screen,74
monster on screen,310
monster on screen,386
monster on screen,397
gang encounters monster,430
gang encounters monster,468
gang encounters monster,478
chase start,487
gang encounters monster,523
chase end,567
clue,597
clue,806
meet up again,827
split up,828
clue,890
meet up again,907
clue,920
monster on screen,934
monster on screen,944
monster on screen,946
monster on screen,957
clue,1013
monster on screen,1032
monster on screen,1046
gang encounters monster,1068
monster on screen,1087
gang encounters monster,1093
monster on screen,1118
